IntegerID	OriginalID
1555	CPX-7113
1556	O14727
1557	Q9NXR7
1558	CPX-2881
1559	Q9NUT2
1560	Q96EL3
1561	CPX-338
1562	P82909
1563	0000015379
1564	Q16586
1565	Q8IUX1
1566	O14925
1567	P54278
1568	P39023
1569	Q96II8
1570	Q9NS82
1571	Q3SYG4
1572	Q00535
1573	CPX-1048
1574	P17535
1575	P20849
1576	CPX-11548
1577	Q9NX08
1578	O15287
1579	CPX-2530
1580	P63096
1581	Q9NRF9
1582	Q9NYK5
1583	CPX-1987
1584	Q9NVC6
1585	CPX-6222
1586	P0CG13
1587	CPX-7510
1588	CPX-723
1589	Q9NZI8
1590	P10176
1591	Q9UJT9
1592	O75817
1593	P51398
1594	0000027835
1595	CPX-7527
1596	CPX-2874
1597	Q8WUA4
1598	A1L190
1599	Q8TCS8
1600	Q13415
1601	CPX-8839
1602	Q5QP82
1603	Q9Y282
1604	P51948
1605	CPX-25745
1606	P40197
1607	CPX-5226
1608	CPX-8644
1609	Q9HAF1
1610	P78346
1611	Q53HL2
1612	CPX-7552
1613	P10966
1614	CPX-432
1615	CPX-2885
1616	Q86UC2
1617	CPX-2713
1618	CPX-6933
1619	Q9H293
1620	P18621
1621	Q9HB90
