S000001786	YKR078W
S000001787	YKR079C
S000001788	YKR080W
S000001789	YKR081C
S000001790	YKR082W
S000001791	YKR083C
S000001792	YKR084C
S000001793	YKR085C
S000001794	YKR086W
S000001795	YKR087C
S000001796	YKR088C
S000001797	YKR089C
S000001798	YKR090W
S000001799	YKR091W
S000118409	ARS1120
S000001800	YKR092C
S000001801	YKR093W
S000001802	YKR094C
S000001803	YKR095W
S000028512	YKR095W-A
S000001804	YKR096W
S000001805	YKR097W
S000001806	YKR098C
S000001807	YKR099W
S000001808	YKR100C
S000001809	YKR101W
S000118410	ARS1123
S000001810	YKR102W
S000001811	YKR103W
S000001812	YKR104W
S000001813	YKR105C
S000001814	YKR106W
S000007063	YKRWomega1
S000028978	TEL11R
S000029411	RDN1
S000028673	YLL067W-A
S000003990	YLL067C
S000028672	YLL066W-B
S000028671	YLL066W-A
S000003989	YLL066C
S000003988	YLL065W
S000028910	TEL12L
S000003987	YLL064C
S000003986	YLL063C
S000003985	YLL062C
S000003984	YLL061W
S000003983	YLL060C
S000003982	YLL059C
S000003981	YLL058W
S000003980	YLL057C
S000003979	YLL056C
S000003978	YLL055W
S000130180	ARS1202
S000003977	YLL054C
S000003976	YLL053C
S000003975	YLL052C
S000003974	YLL051C
S000003973	YLL050C
S000003972	YLL049W
S000003971	YLL048C
S000003970	YLL047W
S000003969	YLL046C
S000003967	YLL044W
S000003968	YLL045C
S000003966	YLL043W
S000003965	YLL042C
S000003964	YLL041C
S000003963	YLL040C
S000003962	YLL039C
S000003961	YLL038C
S000003960	YLL037W
S000003959	YLL036C
S000003958	YLL035W
S000003957	YLL034C
S000003956	YLL033W
S000003955	YLL032C
S000003954	YLL031C
S000003953	YLL030C
S000003952	YLL029W
S000003951	YLL028W
S000003950	YLL027W
S000003949	YLL026W
S000118469	ARS1206
S000007064	YLLCdelta1
S000006683	tP(UGG)L
S000003948	YLL025W
S000003947	YLL024C
S000003946	YLL023C
S000003945	YLL022C
S000003944	YLL021W
S000003943	YLL020C
S000028670	YLL019W-A
S000003942	YLL019C
S000007245	YLL018C-A
S000003941	YLL018C
S000003940	YLL017W
S000003939	YLL016W
S000003938	YLL015W
S000003937	YLL014W
S000003936	YLL013C
S000003935	YLL012W
S000003934	YLL011W
S000003933	YLL010C
S000003932	YLL009C
S000003931	YLL008W
S000003930	YLL007C
S000028560	YLL006W-A
S000003929	YLL006W
S000130181	ARS1207
S000003928	YLL005C
S000003927	YLL004W
S000003926	YLL003W
S000003925	YLL002W
S000003924	YLL001W
S000006473	CEN12
S000114848	ARS1208
S000003991	YLR001C
S000003992	YLR002C
S000118470	ARS1209
S000003993	YLR003C
S000003994	YLR004C
S000003995	YLR005W
S000003996	YLR006C
S000003997	YLR007W
S000003998	YLR008C
S000003999	YLR009W
S000004000	YLR010C
S000006728	tS(AGA)L
S000007079	YLRCsigma1
S000004001	YLR011W
S000004002	YLR012C
S000004003	YLR013W
S000004004	YLR014C
S000004005	YLR015W
S000004006	YLR016C
S000004007	YLR017W
S000004008	YLR018C
S000004009	YLR019W
S000004010	YLR020C
S000004011	YLR021W
S000004012	YLR022C
S000004013	YLR023C
S000004014	YLR024C
S000004015	YLR025W
S000004016	YLR026C
S000004017	YLR027C
S000007497	snR30
S000004018	YLR028C
S000004019	YLR029C
S000004020	YLR030W
S000004021	YLR031W
S000004022	YLR032W
S000004023	YLR033W
S000004024	YLR034C
S000004025	YLR035C
S000006524	tA(UGC)L
S000007065	YLRCdelta2
S000007225	YLR035C-A
S000007066	YLRCdelta3
S000007083	YLRWdelta4
S000004026	YLR036C
S000178132	ARS1210
S000004027	YLR037C
S000004028	YLR038C
S000004029	YLR039C
S000004031	YLR041W
S000004030	YLR040C
S000004032	YLR042C
S000118471	ARS1211
S000004033	YLR043C
S000004034	YLR044C
S000004035	YLR045C
S000004036	YLR046C
S000004037	YLR047C
S000004038	YLR048W
S000004039	YLR049C
S000004040	YLR050C
S000004041	YLR051C
S000004042	YLR052W
S000004043	YLR053C
S000004044	YLR054C
S000004045	YLR055C
S000004046	YLR056W
S000004047	YLR057W
S000004048	YLR058C
S000004049	YLR059C
S000004050	YLR060W
S000004051	YLR061W
S000004052	YLR062C
S000004053	YLR063W
S000004054	YLR064W
S000004055	YLR065C
S000004056	YLR066W
S000004057	YLR067C
S000004058	YLR068W
S000004059	YLR069C
S000004060	YLR070C
S000004061	YLR071C
S000004062	YLR072W
S000004063	YLR073C
S000004064	YLR074C
S000004065	YLR075W
S000004066	YLR076C
S000004067	YLR077W
S000004068	YLR078C
S000004069	YLR079W
S000004070	YLR080W
S000118472	ARS1212
S000004071	YLR081W
S000004072	YLR082C
S000004073	YLR083C
S000004074	YLR084C
S000004075	YLR085C
S000004076	YLR086W
S000004077	YLR087C
S000004078	YLR088W
S000004079	YLR089C
S000004080	YLR090W
S000004081	YLR091W
S000004082	YLR092W
S000004083	YLR093C
S000004084	YLR094C
S000004085	YLR095C
S000004086	YLR096W
S000004087	YLR097C
S000004088	YLR098C
